Change Component Footprint: Designator=U1 Old Footprint=N0014A New Footprint=PW0014A_N
Change Component Comment : Designator=U1 Old Comment=TL974IN New Comment=TL974IPWR
Change Managed Component Library Link : Designator=U1 Old VaultGUID=E2872210-1710-4F7B-8EBA-C52406E43E6D New VaultGUID=E2872210-1710-4F7B-8EBA-C52406E43E6D Old ItemGUID=8b50ec26-501a-4964-b08b-03d54aac788b New ItemGUID=01df697c-446a-4fb0-ada3-cfe713f4f77d Old RevisionGUID=df8e944e-c0d6-4ef9-a9ce-923368630239 New RevisionGUID=c2d48db3-8c82-4b55-be43-b311d96b495c
Change component parameters: Designator = "J1" ("J1"); Footprint = "61300611121-Footprint-1"; UniqueID = "\BXGNGDFD" ("\BXGNGDFD")
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Option 1"; Value = "LOCKING"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Style"; Value = "STRAIGHT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Technology"; Value = "Board"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number Of Connectors"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Contacts"; Value = "6"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Rows Loaded"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCB Contact Pattern"; Value = "RECTANGULAR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rated Current (Signal)"; Value = "3A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reach SVHC Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reference Standard"; Value = "UL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reliability"; Value = "COMMERCIAL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "System"; Value = "Connector"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Terminal Length"; Value = "0.118inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Terminal Pitch"; Value = "2.54mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "Solder"; VariantName = "[No Variations]"
Change component parameters: Designator = "U1" ("U1"); Footprint = "N0014A"; UniqueID = "\DAMRMPXP" ("\DAMRMPXP")
Change component parameters (AddParameter): Name = "Amplifier Type"; Value = "OPERATIONAL AMPLIFIER"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Architecture"; Value = "VOLTAGE-FEEDBACK"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Average Bias Current-Max (IIB)"; Value = "1uA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Bias Current-Max (IIB) @25C"; Value = "750nA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "TSSOP"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Channels"; Value = "4"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Common-mode Reject Ratio-Nom"; Value = "85dB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Frequency Compensation"; Value = "YES"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height - Seated (Max)"; Value = "1.2mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Input Offset Voltage-Max"; Value = "6mV"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JESD-30 Code"; Value = "R-PDSO-G14"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "JESD-609 Code"; Value = "e4"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "5mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Low-Offset"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "125°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Supply Current"; Value = "12.8mA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Moisture Sensitivity Level"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Neg Supply Voltage-Nom (Vsup)"; Value = "-2.5V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Nominal Supply Voltage"; Value = "2.5V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Body Material"; Value = "Plastic"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Equivalence Code"; Value = "TSSOP14,.25"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Shape"; Value = "Rectangular"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Style"; Value = "SMALL OUTLINE, THIN PROFILE, SHRINK PITCHMeter"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Peak Reflow Temperature (Cel)"; Value = "260°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pins"; Value = "14"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Supplies"; Value = "+-2.5V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Qualification Status"; Value = "Not Qualified"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reach SVHC Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS Compliant"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Slew Rate"; Value = "5V/µs"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Slew Rate-Min"; Value = "3.5V/µs"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supply Voltage Limit-Max"; Value = "15V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Surface Mount"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Technology"; Value = "BIPOLAR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Temperature Grade"; Value = "AUTOMOTIVE"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Terminal Finish"; Value = "Nickel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Terminal Form"; Value = "Gull Wing"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Terminal Pitch"; Value = "0.65mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Terminal Position"; Value = "DUAL"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Unity Gain BW-Nom"; Value = "12MHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Gain-Min"; Value = "3160"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "4.4mm"; VariantName = "[No Variations]"
